î‘çÜ,ínì_ñº,1953,rm,1954,rm,1955,rm,1956,rm,1957,rm,1958,rm,1959,rm,1960,rm,1961,rm,1962,rm,1963,rm,1964,rm,1965,rm,1966,rm,1967,rm,1968,rm,1969,rm,1970,rm,1971,rm,1972,rm,1973,rm,1974,rm,1975,rm
772,ëÂç„,331,9,327,9,325,9,324,9,402,9,325,9,320,9,327,9,323,9,403,9,328,9,327,9,326,9,324,9,321,9,331,9,402,9,321,9,327,9,326,9,,,,,,
776,èFñ{,402,8,329,8,324,8,330,8,402,8,326,8,320,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
777,òaâÃéR,329,9,318,9,324,9,324,9,328,9,323,9,316,9,326,9,319,9,329,9,325,9,326,9,324,9,321,9,318,9,327,9,330,9,318,9,326,9,323,9,,,,,,
778,í™ñ¶,328,8,323,8,326,8,321,8,331,8,327,8,320,8,319,8,326,8,401,8,319,8,328,8,324,8,322,8,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
780,ìﬁó«,401,8,328,8,326,8,326,8,405,8,326,8,320,8,330,8,325,8,402,8,329,8,327,8,326,8,323,8,320,8,331,8,403,8,322,8,327,8,327,8,,,,,,
800,åµå¥,331,9,321,9,321,9,326,9,327,9,324,9,317,9,323,9,322,9,401,9,323,9,326,8,327,8,318,8,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
807,ïüâ™,323,8,318,8,319,8,321,8,325,8,322,8,315,8,322,8,317,8,329,8,323,8,321,8,324,8,313,8,314,8,322,8,327,8,313,8,319,8,322,8,,,,,,
813,ç≤âÍ,325,9,318,9,318,9,321,9,327,9,324,8,317,8,321,8,323,8,331,8,323,8,324,8,324,8,319,8,321,8,322,8,328,8,318,8,319,8,322,8,,,,,,
815,ëÂï™,326,8,320,8,319,8,326,8,326,8,323,8,317,8,324,8,319,8,331,8,323,8,322,8,324,8,317,8,317,8,323,8,327,8,314,8,325,8,326,8,,,,,,
817,í∑çË,323,8,318,8,324,8,322,8,326,8,322,8,319,8,319,8,323,8,401,8,322,8,324,8,324,8,321,8,318,8,323,8,326,8,316,8,320,8,322,8,,,,,,
819,åFñ{,322,8,315,8,317,8,322,8,324,8,323,8,316,8,320,8,324,8,401,8,320,8,323,8,322,8,316,8,316,8,321,9,325,9,316,9,320,9,321,9,,,,,,
822,âÑâ™,-,-,318,8,326,8,320,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
827,é≠éôìá,325,8,321,8,328,8,326,8,330,8,330,8,327,8,324,8,329,8,403,8,320,8,330,8,328,8,319,8,323,8,323,8,326,8,315,8,320,8,321,8,,,,,,
830,ã{çË,322,8,317,8,323,8,325,8,328,8,322,9,318,9,323,9,326,9,328,9,318,9,326,9,326,9,316,9,317,9,323,9,324,9,313,9,319,9,322,9,,,,,,
836,âÆãvìá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
837,éÌéqìá,322,9,323,9,403,9,402,9,330,9,328,9,327,9,320,9,321,9,331,9,320,9,401,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
843,ïüç],326,8,320,8,326,8,326,8,328,8,324,8,323,8,322,8,326,9,331,9,322,9,328,8,331,8,323,8,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
887,èºéR,329,9,324,9,321,9,325,9,328,9,324,9,318,9,326,9,319,9,401,9,324,9,323,9,325,9,317,9,314,9,325,9,330,9,317,9,324,9,327,9,,,,,,
891,çÇèº,402,9,328,9,325,9,327,9,331,9,326,9,318,9,328,9,324,9,401,9,327,9,328,9,325,9,320,9,320,9,331,9,402,9,322,9,326,9,324,9,,,,,,
892,âFòaìá,324,9,317,9,318,9,319,9,325,9,321,9,315,9,320,9,317,9,328,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
893,çÇím,325,9,315,9,317,9,319,9,327,9,321,9,317,9,318,9,319,9,331,9,315,9,323,9,324,9,316,9,310,9,322,9,321,9,315,9,318,9,322,9,,,,,,
895,ìøìá,329,8,325,8,326,8,324,8,330,8,325,8,319,8,327,8,326,8,331,8,327,8,327,8,325,8,323,8,326,8,331,8,401,8,324,8,329,8,328,8,,,,,,
909,ñºê£,114,6,120,6,112,6,118,6,118,6,126,6,117,6,101,6,120,6,125,6,116,6,129,6,121,6,122,6,122,6,130,6,120,6,114,6,116,6,120,6,,,,,,
912,ó^ìﬂçëìá,118,7,203,7,209,7,206,7,120,7,205,7,121,7,126,7,119,7,205,7,127,7,208,7,130,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
917,êºï\ìá,114,7,120,7,130,7,207,7,116,7,122,7,115,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
918,êŒä_ìá,104,6,111,6,215,6,131,6,114,6,109,6,104,6,131,6,115,6,107,6,115,6,205,7,127,7,119,7,115,7,117,7,1224,7,122,7,116,7,106,7,,,,,,
927,ã{å√ìá,107,7,108,7,110,7,115,7,105,7,108,7,106,7,1230,7,128,7,129,7,119,7,116,7,129,7,127,7,118,7,117,7,118,7,119,7,116,7,122,7,,,,,,
929,ãvïƒìá,113,7,115,7,120,7,126,7,107,7,104,7,107,7,115,7,113,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
936,ìﬂîe,125,7,120,7,116,7,202,7,118,7,117,7,115,7,121,7,117,7,119,7,113,7,123,7,103,7,102,7,1231,7,107,7,122,7,1228,7,115,7,115,7,,,,,,
940,ñºåÏ,104,7,101,7,104,7,1228,7,101,7,118,7,115,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
945,ìÏëÂìåìá,125,7,124,7,113,7,127,7,117,7,116,7,104,7,112,7,122,7,203,7,115,7,202,7,125,7,125,7,126,7,124,7,117,7,107,7,107,7,115,7,,,,,,
î‘çÜ,ínì_ñº,2016,rm,2017,rm,2018,rm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,ítì‡,513,7,509,7,512,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,óØñG,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,àÆêÏ,503,7,503,7,430,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,ñ‘ëñ,508,7,505,7,502,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,éDñy,425,8,428,8,426,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,ä‚å©ëÚ,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,ë—çL,430,6,501,6,427,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,ã˙òH,510,7,514,7,512,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,ç™é∫,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,é∫óñ,425,9,502,9,429,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,âYâÕ,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,ç]ç∑,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,îüäŸ,424,9,427,9,425,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,ã‰ímà¿,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,ñ‰ï ,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,çLîˆ,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,êVèØ,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,ê¬êX,417,8,417,8,419,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,î™åÀ,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,èHìc,414,8,416,8,417,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,ê∑â™,411,9,417,9,417,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,ã{å√,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,éìc,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,éRå`,406,8,414,8,404,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,êÂë‰,401,8,407,8,330,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,ïüìá,330,9,408,9,329,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,îíâÕ,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,è¨ñºïl,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,ó÷ìá,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,ëäêÏ,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,êVäÉ,403,9,408,9,403,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,ã‡ëÚ,330,8,404,8,329,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,ïxéR,329,8,405,8,327,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,í∑ñÏ,403,8,414,8,402,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,çÇìc,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,âFìsã{,328,8,403,8,326,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,ïüà‰,327,8,405,8,329,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,çÇéR,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,èºñ{,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,ëOã¥,323,8,402,8,325,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,åFíJ,323,9,328,9,322,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,êÖåÀ,328,9,403,9,325,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,ì÷âÍ,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,äÚïå,320,9,328,9,319,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,ñºå√âÆ,319,8,328,8,319,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,î—ìc,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,çbï{,323,8,330,8,323,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,í∂éq,401,9,401,9,320,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,í√,328,9,403,9,326,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,ïlèº,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,ê√â™,327,8,402,8,318,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
î‘çÜ,ínì_ñº,2016,rm,2017,rm,2018,rm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,ìåãû,321,9,321,9,317,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,îˆòh,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,â°ïl,323,8,325,8,319,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,äŸéR,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,ëÂìá,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,éOëÓìá,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,î™è‰ìá,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,êºãΩ,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,èºç],323,8,401,8,326,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,ïƒéq,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,íπéÊ,323,9,402,9,324,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,ñLâ™,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,ïëíﬂ,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,ïlìc,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,ãûìs,323,9,331,9,322,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,ïFç™,330,8,405,8,327,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,â∫ä÷,328,8,329,8,323,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,çLìá,323,9,327,9,322,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,â™éR,326,9,401,9,325,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,ê_åÀ,326,9,403,9,323,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,ëÂç„,323,9,330,9,320,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,èFñ{,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,òaâÃéR,322,9,330,9,320,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,í™ñ¶,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,ìﬁó«,323,8,403,9,324,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,åµå¥,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,ïüâ™,319,8,325,8,319,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,ç≤âÍ,323,8,330,8,320,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,ëÂï™,328,8,404,8,323,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,í∑çË,322,8,330,8,317,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,åFñ{,322,9,401,9,317,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,âÑâ™,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,é≠éôìá,327,8,405,8,317,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,ã{çË,324,9,402,9,316,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,âÆãvìá,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,éÌéqìá,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,ïüç],-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,èºéR,323,9,330,9,319,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,çÇèº,326,9,402,9,324,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,âFòaìá,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,çÇím,324,9,329,9,315,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,ìøìá,330,8,403,8,323,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,ñºê£,118,6,131,6,122,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,ó^ìﬂçëìá,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,êºï\ìá,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,êŒä_ìá,212,7,125,6,119,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,ã{å√ìá,204,7,130,7,123,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,ãvïƒìá,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,ìﬂîe,121,7,114,7,110,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,ñºåÏ,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,ìÏëÂìåìá,209,7,127,7,107,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
